0
AGRICULTURAL EQUIPMENT
AGRICULTURAL VEHICLE
AIRFIELD/RUNWAY
AIRPORT - FUEL STORAGE
AIRPORT - HANGAR
AIRPORT - TERMINAL
AIRPORT BUILDING (NOT TERMINAL OR HANGAR)
AMBULANCE STATION
ANIMAL BOARDING/BREEDING ESTABLISHMENT - CATS
ANIMAL BOARDING/BREEDING ESTABLISHMENT - DOGS
ANIMAL HARM OUTDOORS
ANIMAL PRODUCTS PROCESSING PLANT
ART GALLERY
ATHLETICS STADIUM
BAKERY
BANK/BUILDING SOCIETY
BARBECUE
BARGE
BARN
BEACH
BICYCLE
BINGO HALL
BOARDING HOUSE/B&B FOR HOMELESS/ASYLUM SEEKERS
BOARDING HOUSE/B&B OTHER
BOARDING SCHOOL ACCOMMODATION
BOAT - TANKER
BRIDGE
BULK GAS STORAGE
BULK HAZARDOUS MATERIALS STORAGE
BULK OIL STORAGE
BULK WASTE STORAGE
BUNGALOW - SINGLE OCCUPANCY
BUS/COACH
BUS/COACH STATION/GARAGE
CABLES
CALL CENTRE
CAMPING TENT
CANAL/RIVERBANK VEGETATION
CAR
CARAVAN ON TOW
CARAVAN/MOBILE HOME (PERMANENT DWELLING)
CASINO
CASTLE (PART NOT OPEN TO PUBLIC)
CATHEDRAL
CEMETERY
CENTRAL GOVERNMENT OFFICE
CHEMICAL PLANT
CHILDREN'S HOME
CHURCH/CHAPEL
CINEMA
CLUB/NIGHT CLUB
COLLEGE/UNIVERSITY
COMMON EXTERNAL BIN STORAGE AREA
COMMUNITY CENTRE/HALL
CONCERT HALL
CONFERENCE CENTRE
CONVERTED FLAT/MAISONETTE - UP TO 2 STOREYS
CONVERTED FLAT/MAISONETTES - 3 OR MORE STOREYS
CONVERTED OFFICE
CRICKET GROUND
CYCLE PATH/PUBLIC FOOTPATH/BRIDLEWAY
DAY CARE/DROP IN CENTRE
DENTAL SURGERY
DEPARTMENT STORE
DISTILLERY PLANT
DIY WAREHOUSE
DOCKS
DOCTORS SURGERY
DOMESTIC GARDEN (VEGETATION NOT EQUIPMENT)
ELECTRICAL WAREHOUSE
ELECTRICITY POWER STATION
ENGINEERING MANUFACTURING PLANT
ESTATE AGENT
EXHIBITION CENTRE
FACTORY
FALSE ALARM - PROPERTY NOT FOUND
FENCE
FERRY TERMINAL
FIRE STATION
FISHING BOAT
FOOD AND DRINK PROCESSING
FOOTBALL STADIUM
FREIGHT PLANE
FREIGHT TRAIN
FURNITURE WAREHOUSE
GARDEN EQUIPMENT
GAS WORKS
GOLF CLUBHOUSE
GOLF COURSE (NOT BUILDING ON COURSE)
GRASSLAND/ PASTURE/ GRAZING ETC
GREENHOUSE (COMMERCIAL) GLASS
GREENHOUSE (COMMERCIAL) POLYTUNNEL
GREYHOUND STADIUM
GYM
HAIRDRESSER
HEALTH CENTRE
HEALTH SPA/FARM
HEATHLAND
HEDGE
HELICOPTER
HOSPITAL
HOSTEL (E.G. FOR HOMELESS PEOPLE)
HOTEL/MOTEL
HOUSE - SINGLE OCCUPANCY
HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS (NOT KNOWN IF LICENSED)
HOUSE IN MULTIPLE OCCUPATION - UP TO 2 STOREYS (NOT KNOWN IF LICENSED)
HOUSEBOAT (PERMANENT DWELLING)
HUMAN HARM OUTDOORS
ICE RINK
INDOOR MARKET
INDOOR STADIUM
INFANT/PRIMARY SCHOOL
INTENSIVE FARMING SHEDS (CHICKENS/ PIGS ETC)
KIOSK
LABORATORY/RESEARCH ESTABLISHMENT
LAKE/POND/RESERVOIR
LANDFILL SITE
LARGE PASSENGER VESSEL
LARGE REFUSE/RUBBISH CONTAINER (EG SKIP/ PALADIN)
LARGE SUPERMARKET
LAUNDRETTE
LAW COURTS
LEISURE CENTRE
LIBRARY
LICENSED HOUSE IN MULTIPLE OCCUPATION - 3 OR MORE STOREYS
