Keep;Column;Value
False;Postcode_district;TW4
False;Postcode_district;TW5
False;Postcode_district;TW6
False;Postcode_district;TW7
False;Postcode_district;TW8
False;Postcode_district;TW9
False;Postcode_district;UB10
False;Postcode_district;UB11
False;Postcode_district;UB1
False;Postcode_district;UB2
False;Postcode_district;UB3
False;Postcode_district;UB4
False;Postcode_district;UB5
False;Postcode_district;UB6
False;Postcode_district;UB7
False;Postcode_district;UB8
False;Postcode_district;UB9
False;Postcode_district;W10
False;Postcode_district;W11
False;Postcode_district;W12
False;Postcode_district;W13
False;Postcode_district;W14
False;Postcode_district;W1A
False;Postcode_district;W1B
False;Postcode_district;W1C
False;Postcode_district;W1D
False;Postcode_district;W1F
False;Postcode_district;W1G
False;Postcode_district;W1H
False;Postcode_district;W1J
False;Postcode_district;W1K
False;Postcode_district;W1S
False;Postcode_district;W1T
False;Postcode_district;W1U
False;Postcode_district;W1W
False;Postcode_district;W2
False;Postcode_district;W3
False;Postcode_district;W4
False;Postcode_district;W5
False;Postcode_district;W6
False;Postcode_district;W7
False;Postcode_district;W8
False;Postcode_district;W9
False;Postcode_district;WC1A
False;Postcode_district;WC1B
False;Postcode_district;WC1E
False;Postcode_district;WC1H
False;Postcode_district;WC1N
False;Postcode_district;WC1R
False;Postcode_district;WC1V
False;Postcode_district;WC1X
False;Postcode_district;WC2A
False;Postcode_district;WC2B
False;Postcode_district;WC2E
False;Postcode_district;WC2H
False;Postcode_district;WC2N
False;Postcode_district;WC2R
False;Postcode_district;WD23
False;Postcode_district;WD3
False;Postcode_district;WD6
False;PropertyType;AGRICULTURAL VEHICLE
False;PropertyType;AIRFIELD/RUNWAY
False;PropertyType;AIRPORT - FUEL STORAGE
False;PropertyType;AIRPORT - HANGAR
False;PropertyType;AIRPORT - TERMINAL
False;PropertyType;AIRPORT BUILDING (NOT TERMINAL OR HANGAR)
False;PropertyType;AMBULANCE STATION
False;PropertyType;ANIMAL BOARDING/BREEDING ESTABLISHMENT - CATS
False;PropertyType;ANIMAL BOARDING/BREEDING ESTABLISHMENT - DOGS
False;PropertyType;ANIMAL HARM OUTDOORS
False;PropertyType;ANIMAL PRODUCTS PROCESSING PLANT
False;PropertyType;ART GALLERY
False;PropertyType;ATHLETICS STADIUM
False;PropertyType;BAKERY
False;PropertyType;BANK/BUILDING SOCIETY
False;PropertyType;BARBECUE
True;PropertyType;BARGE
False;PropertyType;BARN
False;PropertyType;BEACH
True;PropertyType;BICYCLE
False;PropertyType;BINGO HALL
False;PropertyType;BOARDING HOUSE/B&B FOR HOMELESS/ASYLUM SEEKERS
False;PropertyType;BOARDING HOUSE/B&B OTHER
False;PropertyType;BOARDING SCHOOL ACCOMMODATION
True;PropertyType;BOAT - TANKER
False;PropertyType;BRIDGE
False;PropertyType;BULK GAS STORAGE
False;PropertyType;BULK HAZARDOUS MATERIALS STORAGE
False;PropertyType;BULK OIL STORAGE
True;PropertyType;BULK WASTE STORAGE
False;PropertyType;BUNGALOW - SINGLE OCCUPANCY
False;PropertyType;BUS/COACH STATION/GARAGE
False;PropertyType;BUS/COACH
True;PropertyType;CABLES
